代码,名称,所属省市,邮编
110000,北京市,110,
110100,市辖区,110,
110101,东城区,110,
110102,西城区,110,
110103,崇文区,110,
110104,宣武区,110,
110105,朝阳区,110,
110106,丰台区,110,
110107,石景山区,110,
110108,海淀区,110,
110109,门头沟区,110,
110110,燕山区,110,
110111,房山区,110,
110112,通州区,110,
110113,顺义区,110,
110114,昌平区,110,
110115,大兴区,110,
110116,怀柔区,110,
110117,平谷区,110,
110200,县,110,
110221,昌平县,110,
110222,顺义县,110,
110223,通县,110,
110224,大兴县,110,
110225,房山县,110,
110226,平谷县,110,
110227,怀柔县,110,
110228,密云县,110,
110229,延庆县,110,
120000,天津市,120,
120100,市辖区,120,
120101,和平区,120,
120102,河东区,120,
120103,河西区,120,
120104,南开区,120,
120105,河北区,120,
120106,红桥区,120,
120107,塘沽区,120,
120108,汉沽区,120,
120109,大港区,120,
120110,东丽区,120,
120111,西青区,120,
120112,津南区,120,
120113,北辰区,120,
120114,武清区,120,
120115,宝坻区,120,
120200,县,120,
120221,宁河县,120,
120222,武清县,120,
120223,静海县,120,
120224,宝坻县,120,
120225,蓟县,120,
130000,河北省,130,
130100,石家庄市,130,
130101,市辖区,130,
130102,长安区,130,
130103,桥东区,130,
130104,桥西区,130,
130105,新华区,130,
130106,郊区,130,
130107,井陉矿区,130,
130108,裕华区,130,
130121,井陉县,130,
130122,获鹿县,130,
130123,正定县,130,
130124,栾城县,130,
130125,行唐县,130,
130126,灵寿县,130,
130127,高邑县,130,
130128,深泽县,130,
130129,赞皇县,130,
130130,无极县,130,
130131,平山县,130,
130132,元氏县,130,
130133,赵县,130,
130181,辛集市,130,
130182,藁城市,130,
130183,晋州市,130,
130184,新乐市,130,
130185,鹿泉市,130,
130200,唐山市,130,
130201,市辖区,130,
130202,路南区,130,
130203,路北区,130,
130204,古冶区,130,
130205,开平区,130,
130206,新区,130,
130207,丰南区,130,
130208,丰润区,130,
130221,丰润县,130,
130222,丰南县,130,
130223,滦县,130,
130224,滦南县,130,
130225,乐亭县,130,
130226,迁安县,130,
130227,迁西县,130,
130228,遵化县,130,
130229,玉田县,130,
130230,唐海县,130,
130281,遵化市,130,
130282,丰南市,130,
130283,迁安市,130,
130300,秦皇岛市,130,
130301,市辖区,130,
130302,海港区,130,
130303,山海关区,130,
130304,北戴河区,130,
130305,郊区,130,
130321,青龙满族自治县,130,
130322,昌黎县,130,
130323,抚宁县,130,
130324,卢龙县,130,
130400,邯郸市,130,
130401,市辖区,130,
130402,邯山区,130,
130403,丛台区,130,
130404,复兴区,130,
130406,峰峰矿区,130,
130421,邯郸县,130,
130423,临漳县,130,
130424,成安县,130,
130425,大名县,130,
130426,涉县,130,
130427,磁县,130,
130428,肥乡县,130,
130429,永年县,130,
130430,邱县,130,
130431,鸡泽县,130,
130432,广平县,130,
130433,馆陶县,130,
130434,魏县,130,
130435,曲周县,130,
130481,武安市,130,
130500,邢台市,130,
130501,市辖区,130,
130502,桥东区,130,
130503,桥西区,130,
130504,郊区,130,
130521,邢台县,130,
